attr1,attr2,attr3,class
191.0,131.0,53.0,A
185.0,134.0,50.0,A
200.0,137.0,52.0,A
173.0,127.0,50.0,A
171.0,128.0,49.0,A
160.0,118.0,47.0,A
188.0,134.0,54.0,A
186.0,129.0,51.0,A
174.0,131.0,52.0,A
163.0,115.0,47.0,A
186.0,107.0,49.0,B
211.0,122.0,49.0,B
201.0,144.0,47.0,B
242.0,131.0,54.0,B
184.0,108.0,43.0,B
211.0,118.0,51.0,B
217.0,122.0,49.0,B
223.0,127.0,51.0,B
208.0,125.0,50.0,B
199.0,124.0,46.0,B
158.0,141.0,58.0,C
146.0,119.0,51.0,C
151.0,130.0,51.0,C
122.0,113.0,45.0,C
138.0,121.0,53.0,C
132.0,115.0,49.0,C
131.0,127.0,51.0,C
135.0,123.0,50.0,C
125.0,119.0,51.0,C
130.0,120.0,48.0,C
