,CH,DBI,SIL,DBCV,DI,CJI,COP,dataset
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=1000-d=10-noise=0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=1000-d=30-noise=0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=10-n=1000-d=50-noise=0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=1000-d=10-noise=0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=1000-d=30-noise=0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=30-n=1000-d=50-noise=0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=1000-d=10-noise=0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=1000-d=30-noise=0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=gaussian-k=50-n=1000-d=50-noise=0
9,-763.7951260206962,0.8546498552133467,-0.37960894832993325,0.8527677449001767,-0.003451874928822988,-2.240966073550734,72.13389571284817,type=circles-k=2-n=1000-d=2-noise=0.0
10,-573.5763265295316,1.1840098869274254,-0.3540729988219523,0.8007972409432247,-0.0053771002118053034,-1.6881454821142499,51.87912629693016,type=circles-k=2-n=1000-d=2-noise=0.01
11,-567.6994781039299,1.1933097681181661,-0.35058487407255107,0.7355653882102664,-0.010581645895779632,-1.672369863471899,24.223492574540266,type=circles-k=2-n=1000-d=2-noise=0.05
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=circles-k=2-n=1000-d=2-noise=0.1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=1000-d=2-noise=0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=1000-d=2-noise=0.01
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=1000-d=2-noise=0.05
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=moons-k=2-n=1000-d=2-noise=0.1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=1000-d=10-noise=0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=1000-d=30-noise=0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=10-n=1000-d=50-noise=0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=1000-d=10-noise=0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=1000-d=30-noise=0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=30-n=1000-d=50-noise=0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,type=varied-k=50-n=1000-d=10-noise=0
