,cvi,dataset,correlations
0,CH,type=gaussian-k=10-n=1000-d=10-noise=0,"{'CH': 0.9724052539557523, 'DBI': 0.8972126037242704, 'SIL': 0.9309301132801864, 'DI': 0.8066871441459148, 'CJI': 0.8728761558586912, 'COP': 0.8601632399779645, 'DBCV': 0.9526275401183983}"
1,CH,type=gaussian-k=10-n=1000-d=30-noise=0,"{'CH': 0.9994278442552602, 'DBI': 0.9938443933669392, 'SIL': 0.9960738278205798, 'DI': 0.9945151966538752, 'CJI': 0.9934892622150319, 'COP': 0.9934498031981533, 'DBCV': 0.9974344933357865}"
2,CH,type=gaussian-k=10-n=1000-d=50-noise=0,"{'CH': 0.9989038545279817, 'DBI': 0.9874919290658737, 'SIL': 0.9923720287700646, 'DI': 0.988648137303482, 'CJI': 0.9859415061615265, 'COP': 0.9881376037959668, 'DBCV': 0.9957487453448068}"
3,CH,type=gaussian-k=30-n=1000-d=10-noise=0,"{'CH': 0.9906375244359306, 'DBI': 0.9833149178495073, 'SIL': 0.9843871566710908, 'DI': 0.957399580450673, 'CJI': 0.9500323687695903, 'COP': 0.9893691443664964, 'DBCV': 0.9442357005952245}"
4,CH,type=gaussian-k=30-n=1000-d=30-noise=0,"{'CH': 0.9921208789659888, 'DBI': 0.9794212581222602, 'SIL': 0.9851579347963973, 'DI': 0.978149104792409, 'CJI': 0.9621407529564322, 'COP': 0.9831000606086233, 'DBCV': 0.9798054067965324}"
5,COP,type=gaussian-k=30-n=1000-d=50-noise=0,"{'CH': 0.9757824220727834, 'DBI': 0.9761730293070972, 'SIL': 0.9933934178867094, 'DI': 0.986468410272324, 'CJI': 0.9851389050436263, 'COP': 0.9962807389584438, 'DBCV': 0.9681025901071163}"
6,CH,type=gaussian-k=50-n=1000-d=10-noise=0,"{'CH': 0.9968741293430915, 'DBI': 0.9949442439810001, 'SIL': 0.9948491087870942, 'DI': 0.9857328763658618, 'CJI': 0.9893581601290198, 'COP': 0.9964799978254814, 'DBCV': 0.9827755774067791}"
7,COP,type=gaussian-k=50-n=1000-d=30-noise=0,"{'CH': 0.9946605008597552, 'DBI': 0.9914471806533423, 'SIL': 0.9929351852199846, 'DI': 0.9587418265345541, 'CJI': 0.9564589942253461, 'COP': 0.99653974800642, 'DBCV': 0.9613991799884196}"
8,COP,type=gaussian-k=50-n=1000-d=50-noise=0,"{'CH': 0.9944399930325728, 'DBI': 0.9910398885211636, 'SIL': 0.9896185333565581, 'DI': 0.9792263985178428, 'CJI': 0.9890854871527959, 'COP': 0.9960146315972828, 'DBCV': 0.9799378117508931}"
9,DBCV,type=circles-k=2-n=1000-d=2-noise=0.0,"{'CH': -0.18046276472257333, 'DBI': 0.2739185389635515, 'SIL': 0.3646142337555137, 'DI': 0.29637536478336135, 'CJI': 0.06894861599414506, 'COP': 0.14752237727964507, 'DBCV': 0.36195874147428087}"
10,DBCV,type=circles-k=2-n=1000-d=2-noise=0.01,"{'CH': -0.002644786694877725, 'DBI': 0.08598632091718741, 'SIL': 0.1445160655415047, 'DI': 0.7839244197367694, 'CJI': 0.08875069970182901, 'COP': 0.46612212763863603, 'DBCV': 0.3846066156049759}"
11,DBCV,type=circles-k=2-n=1000-d=2-noise=0.05,"{'CH': -0.22790269710736671, 'DBI': -0.2255640539038089, 'SIL': 0.16728966588072916, 'DI': 0.9111123890582168, 'CJI': -0.22661836026606857, 'COP': 0.4934153775375237, 'DBCV': 0.8851654501767441}"
12,DBCV,type=circles-k=2-n=1000-d=2-noise=0.1,"{'CH': 0.26082852605591683, 'DBI': 0.4579489872768243, 'SIL': 0.5308723035833618, 'DI': -0.05123194193213306, 'CJI': 0.5353405963235306, 'COP': -0.2838696800963495, 'DBCV': 0.6036296408857894}"
13,DBCV,type=moons-k=2-n=1000-d=2-noise=0.0,"{'CH': -0.511907164480323, 'DBI': -0.5615287588294653, 'SIL': -0.2612891019172553, 'DI': 0.5224142060855471, 'CJI': -0.3895812310797174, 'COP': 0.44489152371342083, 'DBCV': 0.5476379701841815}"
14,DBCV,type=moons-k=2-n=1000-d=2-noise=0.01,"{'CH': -0.17309873020224553, 'DBI': -0.12562150307168937, 'SIL': 0.08109758377051428, 'DI': 0.7902166091194451, 'CJI': 0.22006504753953324, 'COP': 0.5940260937831001, 'DBCV': 0.7925350523285745}"
15,DBCV,type=moons-k=2-n=1000-d=2-noise=0.05,"{'CH': 0.16688280576228956, 'DBI': 0.17942952055450853, 'SIL': 0.46967770786086177, 'DI': 0.8599929728175807, 'CJI': 0.48985210975181265, 'COP': 0.6101446960743603, 'DBCV': 0.7531356545481291}"
16,DBCV,type=moons-k=2-n=1000-d=2-noise=0.1,"{'CH': -0.054553760809267424, 'DBI': -0.22805025289606792, 'SIL': 0.5494729972263013, 'DI': 0.6066892456833131, 'CJI': 0.5802737849325965, 'COP': 0.005240659161364008, 'DBCV': 0.8493927788279554}"
17,SIL,type=varied-k=10-n=1000-d=10-noise=0,"{'CH': 0.8879985583853919, 'DBI': 0.5270062469966363, 'SIL': 0.9346948582412303, 'DI': 0.5936797933615019, 'CJI': 0.23723987366312624, 'COP': 0.8146564151850073, 'DBCV': 0.74298201931081}"
18,CH,type=varied-k=10-n=1000-d=30-noise=0,"{'CH': 0.9993848871504502, 'DBI': 0.9906944466350172, 'SIL': 0.9973502831096319, 'DI': 0.9976341813478856, 'CJI': 0.9916210259095819, 'COP': 0.9981546614513507, 'DBCV': 0.996766463359732}"
19,CH,type=varied-k=10-n=1000-d=50-noise=0,"{'CH': 0.9993311909694469, 'DBI': 0.982888276267067, 'SIL': 0.9971290148932351, 'DI': 0.988124464777372, 'CJI': 0.9782512061871814, 'COP': 0.9972268893855113, 'DBCV': 0.9966743333557704}"
20,CH,type=varied-k=30-n=1000-d=10-noise=0,"{'CH': 0.9931737865724283, 'DBI': 0.9718850815121297, 'SIL': 0.9914084420886372, 'DI': 0.9799463303047383, 'CJI': 0.9498126713864548, 'COP': 0.9906364955315682, 'DBCV': 0.9768917398875123}"
21,CH,type=varied-k=30-n=1000-d=30-noise=0,"{'CH': 0.9985294729686611, 'DBI': 0.9732669284019809, 'SIL': 0.9979329384182122, 'DI': 0.995061248838145, 'CJI': 0.9839890843711548, 'COP': 0.9816461579013082, 'DBCV': 0.9927708923841883}"
22,SIL,type=varied-k=30-n=1000-d=50-noise=0,"{'CH': 0.9900164005240744, 'DBI': 0.9516415499196239, 'SIL': 0.9941804432053208, 'DI': 0.9822456991126184, 'CJI': 0.9619853622219928, 'COP': 0.979257125016855, 'DBCV': 0.9783424093975526}"
23,CH,type=varied-k=50-n=1000-d=10-noise=0,"{'CH': 0.9946110031037894, 'DBI': 0.981554623281831, 'SIL': 0.9881987789488045, 'DI': 0.9645276378350893, 'CJI': 0.9614091106294036, 'COP': 0.9924554043453051, 'DBCV': 0.9684791031107368}"
24,COP,type=varied-k=50-n=1000-d=30-noise=0,"{'CH': 0.9961552156170341, 'DBI': 0.9881912527124644, 'SIL': 0.9943128550435405, 'DI': 0.961467098729943, 'CJI': 0.9647954267511062, 'COP': 0.9970698627102578, 'DBCV': 0.9779267178358736}"
25,CH,type=varied-k=50-n=1000-d=50-noise=0,"{'CH': 0.9939266969155157, 'DBI': 0.9861593450684165, 'SIL': 0.9911673801746235, 'DI': 0.9325933922729098, 'CJI': 0.9333184553178651, 'COP': 0.9910321180027187, 'DBCV': 0.9298096160109692}"
26,CH,type=gaussian-k=10-n=5000-d=10-noise=0,"{'CH': 0.9424895049937705, 'DBI': 0.559264497565661, 'SIL': 0.9187025780373059, 'DI': 0.4185231451875382, 'CJI': 0.6891283336675336, 'COP': 0.39875238451582834, 'DBCV': 0.539464112991469}"
27,CH,type=gaussian-k=10-n=5000-d=30-noise=0,"{'CH': 0.9458134016090337, 'DBI': 0.3380740491032449, 'SIL': 0.8117642808690075, 'DI': 0.20628191613916297, 'CJI': 0.22741931340714014, 'COP': 0.3897362098830878, 'DBCV': 0.6679241109002925}"
28,CH,type=gaussian-k=10-n=5000-d=50-noise=0,"{'CH': 0.9484262912614682, 'DBI': 0.6080862892308749, 'SIL': 0.7434200400218557, 'DI': 0.28455727527792113, 'CJI': 0.33731739811698147, 'COP': 0.5288035539770628, 'DBCV': 0.6212079704793765}"
29,CH,type=gaussian-k=30-n=5000-d=10-noise=0,"{'CH': 0.97588515461317, 'DBI': 0.9218914432169582, 'SIL': 0.9435017224937832, 'DI': 0.9175192372540351, 'CJI': 0.8375009209116854, 'COP': 0.9463805341203586, 'DBCV': 0.8571497418292312}"
30,CH,type=gaussian-k=30-n=5000-d=30-noise=0,"{'CH': 0.9950586315903556, 'DBI': 0.9821457621649579, 'SIL': 0.9926210910525796, 'DI': 0.9777973614848363, 'CJI': 0.9556213212324486, 'COP': 0.9908059583703266, 'DBCV': 0.9880730199479586}"
31,CH,type=gaussian-k=30-n=5000-d=50-noise=0,"{'CH': 0.9873220153340635, 'DBI': 0.9773822562979188, 'SIL': 0.9842688937568455, 'DI': 0.9534899644857391, 'CJI': 0.946919132820194, 'COP': 0.983762322015334, 'DBCV': 0.9704051532524799}"
32,CH,type=gaussian-k=50-n=5000-d=10-noise=0,"{'CH': 0.9958305903006363, 'DBI': 0.9792407285494841, 'SIL': 0.9903298953990197, 'DI': 0.9796354274390071, 'CJI': 0.9655290963750349, 'COP': 0.9913100724160632, 'DBCV': 0.9834067603662663}"
