Dataset,adjusted_rand_score
twodiamonds,1.2515800807400568e-05
fourty,0.0
threenorm,0.012126304455457442
disk-6000n,-0.006017435496275489
wine,0.7899332213582837
D31,0.8778199693888947
balance-scale,0.03768692775767218
donut1,1.0
2d-3c-no123,0.7240312271744365
cassini,0.3054877001370307
gaussians1,1.0
chainlink,1.0
spherical_5_2,0.6168148367586973
disk-3000n,0.07950784117352064
long3,0.8704910342755342
letter,0.0009242237441431839
2d-4c-no9,0.8324965511058361
flame,0.1385628604778269
complex9,0.37616092675588797
complex8,0.44196019659275776
triangle2,0.9593315778819692
golfball,0.0
long1,0.7834740423747513
rings,0.4842441392515403
ds3c3sc6,0.2624043516944991
banana,0.6426164178982856
donutcurves,0.6128742744003152
ds4c2sc8,0.1697306659307648
DS-850,0.5886519788072452
engytime,0.032850003755611625
aml28,0.974631997677294
hypercube,1.0
elliptical_10_2,0.0
spherical_6_2,0.8210652304009575
cure-t2-4k,0.43179025252345177
smile3,1.0
diamond9,0.08567089416754416
dpb,0.059795486568473444
s-set1,0.845860170531534
st900,0.11121157806189325
disk-4000n,0.0700830766114192
xclara,0.9851710501608529
sizes3,0.9352351321543968
dartboard2,0.4992481203007519
twenty,0.9989474227662235
dense-disk-5000,0.00903850855030464
zelnik4,0.8944912542438501
hepta,1.0
2d-20c-no0,0.025768646473643207
cure-t1-2000n-2D,0.34234716932639025
pmf,0.8644368458888005
3MC,0.017420662609792987
circle,0.050138671027981266
disk-5000n,0.0793142913444639
impossible,0.07490915003361155
square3,0.8083718943148486
smile2,1.0
smile1,1.0
square2,0.8786315238610652
longsquare,0.27482984111216696
spherical_4_3,0.9933165272203728
vehicle,0.07668733825424928
