Dataset,TPE-Autoclust,Ml2dac,TPOT-CHS,TPOT-DBS,TPOT-SIL,TPOT-Clustering
3-spiral,0.0317,0.0849,0.117,0.1146,-0.0059,-0.0043
arrhythmia,0.0045,0.0337,0.0077,0.0108,0.0376,0.0432
balance-scale,0.0749,0.0377,0.0805,0.097,0.102,0.1303
cassini,0.6396,0.3055,0.6407,0.6832,0.6466,0.5264
cluto-t7-10k,0.2371,0.1812,0.2777,0.4065,0.4078,0.5656
compound,0.3959,0.2127,0.5152,0.4841,0.4681,0.4681
disk-6000n,0.0776,-0.006,0.0832,-0.0001,-0.0003,0.0892
ecoli,0.1297,0.1535,0.3857,0.2243,0.0044,0.038
elliptical_10_2,0.1343,0.0,0.1835,0.1835,0.1835,0.1835
engytime,0.3284,0.0329,0.5608,0.0,0.0,0.5577
flame,0.0662,0.1386,0.4297,0.1042,0.4534,0.4649
fourty,0.2359,0.0,0.2725,0.2532,0.2532,0.3787
glass,0.072,0.1251,0.1339,0.181,0.2463,0.2137
iono,0.0239,0.0797,0.1776,0.205,0.0045,0.009
iris,0.1312,0.0892,0.2037,0.1898,0.5681,0.7287
jain,0.0501,0.5692,0.0727,0.1427,0.5528,0.5767
pathbased,0.1184,0.4572,0.1961,0.1786,0.3985,0.2116
segment,0.3436,0.1023,0.4812,0.1023,0.1023,0.1023
sizes2,0.4533,0.9267,0.6008,0.5998,0.6008,0.8846
sizes4,0.0636,0.7523,0.9035,0.1054,0.411,0.3309
sonar,0.0214,0.0271,0.0016,0.0443,0.0688,0.0688
tae,0.0175,0.0141,0.0301,0.0333,0.0421,0.0421
thy,0.0422,0.0036,0.1404,0.1279,0.338,0.338
twodiamonds,0.0879,0.0,0.0954,0.0922,1.0,1.0
wine,0.1267,0.7899,-0.0005,0.0033,0.0003,0.461
