Dataset,adjusted_rand_score,Running_Time(s),Pipeline
cluto-t7-10k.csv,0.43681791787321994,666.78,"{'variancethreshold': VarianceThreshold(threshold=0.1), 'kmeans': KMeans(init='random', n_clusters=5, random_state=42)}"
segment.csv,0.0002186487761525254,615.43,"{'pca': PCA(n_components=10, random_state=42), 'dbscan': DBSCAN(eps=100.0, leaf_size=3, min_samples=10)}"
aggregation.csv,0.5823171517533233,634.35,"{'standardscaler': StandardScaler(), 'spectralclustering': SpectralClustering(eigen_solver='arpack', n_clusters=3, random_state=42)}"
tae.csv,0.014800469106569415,319.44,"{'stackingestimator-1': StackingEstimator(estimator=KMeans(init='random', n_clusters=10,
                                   random_state=42)), 'stackingestimator-2': StackingEstimator(estimator=KMeans(n_clusters=11, random_state=42)), 'agglomerativeclustering': AgglomerativeClustering(n_clusters=11)}"
pathbased.csv,0.3984715197933473,466.52,"{'minmaxscaler': MinMaxScaler(), 'spectralclustering': SpectralClustering(affinity='nearest_neighbors', eigen_solver='arpack',
                   n_clusters=2, random_state=42)}"
iono.csv,0.009002079902937863,602.34,"{'standardscaler-1': StandardScaler(), 'standardscaler-2': StandardScaler(), 'spectralclustering': SpectralClustering(eigen_solver='arpack', n_clusters=2, random_state=42)}"
glass.csv,0.23255735553882223,219.78,"{'pca': PCA(n_components=2, random_state=42), 'minmaxscaler': MinMaxScaler(), 'minibatchkmeans': MiniBatchKMeans(batch_size=25, n_clusters=3, random_state=42)}"
sizes2.csv,0.3485503517667049,603.46,"{'spectralclustering': SpectralClustering(eigen_solver='lobpcg', n_clusters=2, random_state=42)}"
iris.csv,0.5681159420289855,300.74,"{'spectralclustering': SpectralClustering(eigen_solver='lobpcg', n_clusters=2, random_state=42)}"
sonar.csv,-0.00449966912065825,601.71,"{'standardscaler-1': StandardScaler(), 'standardscaler-2': StandardScaler(), 'pca': PCA(n_components=3, random_state=42), 'spectralclustering': SpectralClustering(eigen_solver='lobpcg', n_clusters=2, random_state=42)}"
jain.csv,1.0,603.94,"{'spectralclustering': SpectralClustering(eigen_solver='lobpcg', n_clusters=2, random_state=42)}"
sizes4.csv,0.39560539048835,610.54,"{'spectralclustering': SpectralClustering(eigen_solver='arpack', n_clusters=2, random_state=42)}"
3-spiral.csv,-0.005814123983013132,320.38,"{'standardscaler': StandardScaler(), 'minmaxscaler': MinMaxScaler(), 'kmeans': KMeans(n_clusters=4, random_state=42)}"
cluto-t8-8k.csv,0.4336062071310452,642.79,"{'kmeans': KMeans(init='random', n_clusters=5, random_state=42)}"
compound.csv,0.740208347351395,246.32,"{'minibatchkmeans': MiniBatchKMeans(batch_size=10, n_clusters=3, random_state=42)}"
thy.csv,0.32348006365808035,294.2,"{'featureunion': FeatureUnion(transformer_list=[('stackingestimator',
                                StackingEstimator(estimator=Pipeline(steps=[('minmaxscaler',
                                                                             MinMaxScaler()),
                                                                            ('kmeans',
                                                                             KMeans(init='random',
                                                                                    n_clusters=16))]))),
                               ('minmaxscaler', MinMaxScaler())]), 'kmeans': KMeans(n_clusters=2, random_state=42)}"
haberman.csv,0.014301792245887185,310.58,"{'dbscan': DBSCAN(eps=10.0, leaf_size=5, min_samples=10)}"
R15.csv,0.1452316934712859,601.6,"{'minibatchkmeans': MiniBatchKMeans(batch_size=50, n_clusters=3, random_state=42)}"
arrhythmia.csv,0.01113714597086601,571.56,{'agglomerativeclustering': AgglomerativeClustering()}
ecoli.csv,0.3863249137869261,607.17,"{'featureunion': FeatureUnion(transformer_list=[('pca', PCA(n_components=2, random_state=42)),
                               ('standardscaler', StandardScaler())]), 'standardscaler': StandardScaler(), 'kmeans': KMeans(init='random', n_clusters=2, random_state=42)}"
